,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
4881,692.0,2,115.0,53.0,0.0,0.0,0.0,0.0,115.0,53.0,0.0,0.0,91.0,32.0,15.0,13.0,9.0,8.0,95.0,38.0,17.0,14.0,3.0,1.0,1,0,2,0,2016-12-03 00:00:00,582,227.0,True,2,3,Rob Font
5146,919.0,3,155.0,85.0,1.0,1.0,1.0,0.0,148.0,79.0,0.0,1.0,118.0,52.0,20.0,18.0,10.0,9.0,114.0,50.0,18.0,15.0,16.0,14.0,1,0,3,0,2017-07-08 00:00:00,582,276.0,True,2,4,Rob Font
5274,1195.0,4,234.0,126.0,3.0,2.0,2.0,0.0,225.0,118.0,0.0,2.0,182.0,80.0,30.0,26.0,13.0,12.0,180.0,79.0,29.0,25.0,16.0,14.0,1,0,3,1,2017-10-28 00:00:00,582,243.0,False,2,5,Rob Font
5395,1438.0,4,302.0,156.0,4.0,2.0,2.0,0.0,293.0,148.0,0.0,2.0,234.0,103.0,45.0,32.0,14.0,13.0,248.0,109.0,29.0,25.0,16.0,14.0,1,0,3,2,2018-01-20 00:00:00,582,144.0,True,2,6,Rob Font
5609,1582.0,5,357.0,181.0,6.0,3.0,2.0,0.0,346.0,171.0,0.0,2.0,283.0,122.0,49.0,36.0,14.0,13.0,283.0,119.0,41.0,34.0,22.0,18.0,1,0,4,2,2018-07-07 00:00:00,582,300.0,False,2,7,Rob Font
5828,1882.0,5,393.0,186.0,6.0,3.0,2.0,0.0,382.0,176.0,0.0,2.0,318.0,126.0,50.0,37.0,14.0,13.0,319.0,124.0,41.0,34.0,22.0,18.0,2,0,4,2,2018-12-16 04:00:00,582,300.0,True,2,8,Rob Font
6325,2182.0,6,453.0,217.0,7.0,4.0,2.0,0.0,436.0,202.0,0.0,3.0,366.0,146.0,55.0,42.0,15.0,14.0,363.0,146.0,42.0,35.0,31.0,21.0,3,0,4,2,2019-12-08 05:00:00,582,300.0,True,2,9,Rob Font
6790,2482.0,7,523.0,250.0,7.0,4.0,2.0,0.0,501.0,230.0,0.0,3.0,426.0,170.0,59.0,45.0,16.0,15.0,423.0,171.0,47.0,38.0,31.0,21.0,4,0,4,2,2020-12-19 00:00:00,582,227.0,True,2,10,Rob Font
2200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2010-06-19 00:00:00,583,300.0,True,1,0,Brad Tavares
2391,300.0,1,12.0,9.0,3.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1,0,0,0,2011-01-01 00:00:00,583,260.0,True,1,1,Brad Tavares
