iter	Accuracy	Logloss
0	0.5358630264	0.6931360165
1	0.5402591393	0.6931289762
2	0.5620083295	0.6931150159
3	0.5615455807	0.6931073994
4	0.5731142989	0.6930832821
5	0.5691809348	0.6930749489
6	0.5749652938	0.6930647052
7	0.5795927811	0.6930394543
8	0.5826006478	0.693024982
9	0.5844516428	0.6930181234
10	0.581443776	0.6930059804
11	0.5784359093	0.6929951506
12	0.583988894	0.6929847646
13	0.5791300324	0.6929742713
14	0.5805182786	0.6929614561
15	0.5835261453	0.6929522667
16	0.5816751504	0.692944402
17	0.5844516428	0.692911012
18	0.5853771402	0.6928964694
19	0.586534012	0.6928888839
20	0.58907913	0.6928664809
21	0.5860712633	0.6928522677
22	0.58907913	0.6928220053
23	0.5923183711	0.6928028587
24	0.5923183711	0.692794356
25	0.5925497455	0.6927837849
26	0.5948634891	0.6927592058
27	0.5944007404	0.6927487707
28	0.5969458584	0.6927264
29	0.5923183711	0.6927171236
30	0.5962517353	0.6927065428
31	0.5939379917	0.6926950327
32	0.5934752429	0.6926785374
33	0.5923183711	0.6926671262
34	0.5948634891	0.6926434618
35	0.5950948635	0.6926302486
36	0.5932438686	0.69261817
37	0.5944007404	0.6926153154
38	0.5932438686	0.6926017667
39	0.5927811199	0.6925945556
40	0.5971772328	0.6925658835
41	0.5987968533	0.6925483891
42	0.5990282277	0.6925261468
43	0.5999537251	0.6925113888
44	0.6008792226	0.6924930838
45	0.60180472	0.6924815878
46	0.6029615919	0.6924711429
47	0.6036557149	0.6924590347
48	0.6036557149	0.6924531851
49	0.604349838	0.69244172
50	0.6011105969	0.6924329528
51	0.6022674688	0.6924125763
52	0.5999537251	0.6923967659
53	0.60180472	0.6923861817
54	0.6008792226	0.6923785248
55	0.6015733457	0.6923614399
56	0.6015733457	0.6923377231
57	0.6031929662	0.6923214166
58	0.6020360944	0.6923149477
59	0.6034243406	0.6923072084
60	0.6031929662	0.6922821121
61	0.6031929662	0.6922544102
62	0.60180472	0.6922411909
63	0.6031929662	0.6922269662
64	0.6022674688	0.6922156995
65	0.6022674688	0.6922080507
66	0.6034243406	0.6921861486
67	0.6071263304	0.6921673149
68	0.6055067099	0.6921413395
69	0.606894956	0.6921289583
70	0.6082832022	0.6921015127
71	0.6078204535	0.6920926619
72	0.6087459509	0.6920663585
73	0.609440074	0.6920523211
74	0.6075890791	0.6920360731
75	0.6092086997	0.6920273358
76	0.6071263304	0.6920117731
77	0.6062008329	0.6920045408
78	0.6052753355	0.6919885897
79	0.6071263304	0.6919688646
80	0.6103655715	0.6919442988
81	0.6131420639	0.6919174352
82	0.6117538177	0.6918916393
83	0.6131420639	0.6918676136
84	0.6115224433	0.6918567929
85	0.6129106895	0.6918433726
86	0.6101341971	0.6918253979
87	0.6110596946	0.6918126758
88	0.6103655715	0.6918069655
89	0.6103655715	0.6917802452
90	0.6131420639	0.6917693638
91	0.6103655715	0.6917538918
92	0.6117538177	0.6917220486
93	0.6126793151	0.6916952869
94	0.6103655715	0.6916862842
95	0.6112910689	0.6916770708
96	0.6108283202	0.6916657253
97	0.6115224433	0.6916419701
98	0.6117538177	0.6916295948
99	0.6096714484	0.6916248587
100	0.6103655715	0.6916102225
101	0.6099028228	0.6915892703
102	0.611985192	0.691577748
103	0.6099028228	0.6915649874
104	0.6096714484	0.6915571715
105	0.6110596946	0.6915392966
106	0.6112910689	0.6915190532
107	0.6099028228	0.6915068107
108	0.6099028228	0.6914866128
109	0.6108283202	0.6914710433
110	0.6099028228	0.6914588438
111	0.6103655715	0.6914341167
112	0.609440074	0.691426227
113	0.6110596946	0.691416779
114	0.6124479408	0.6914005499
115	0.6112910689	0.6913939897
116	0.6124479408	0.6913860932
117	0.6122165664	0.6913761913
118	0.6110596946	0.6913635109
119	0.6115224433	0.691349909
120	0.6108283202	0.6913415607
121	0.6105969459	0.691332589
122	0.6089773253	0.6913166239
123	0.6108283202	0.6913030148
124	0.609440074	0.6912948384
125	0.6101341971	0.6912831411
126	0.6108283202	0.6912791411
127	0.6108283202	0.691252904
128	0.6115224433	0.6912230892
129	0.6117538177	0.6912016931
130	0.6124479408	0.6911689497
131	0.6112910689	0.6911561777
132	0.6117538177	0.6911439521
133	0.6124479408	0.6911369556
134	0.611985192	0.6911261142
135	0.611985192	0.6911020004
136	0.6129106895	0.691090753
137	0.6129106895	0.6910725077
138	0.6136048126	0.6910614645
139	0.6147616844	0.6910482458
140	0.61453031	0.691038627
141	0.6159185562	0.6910241271
142	0.6142989357	0.6910038155
143	0.6152244331	0.6909910695
144	0.6131420639	0.690979888
145	0.6136048126	0.6909670859
146	0.613836187	0.6909433426
147	0.613836187	0.6909335307
148	0.6149930588	0.6909121046
149	0.6147616844	0.6909049165
150	0.613836187	0.6908897489
151	0.6129106895	0.6908769262
152	0.6122165664	0.6908630554
153	0.6136048126	0.690848283
154	0.6126793151	0.6908425734
155	0.611985192	0.6908324194
156	0.6122165664	0.6908234988
157	0.6101341971	0.6908019644
158	0.6105969459	0.6907869727
159	0.611985192	0.6907641569
160	0.6124479408	0.6907495584
161	0.6129106895	0.6907356168
162	0.6124479408	0.6907314159
163	0.6129106895	0.6907188331
