,cumsum_duration,cumsum_winner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsum_winMethods_[DEC],cumsum_winMethods_[DQ],cumsum_winMethods_[KO],cumsum_winMethods_[SUB],current_duration,winner,current_hitsTotal,current_hitsSuccessful,current_takedownTotal,current_takedownSuccessful,current_submissionAttempts,current_takeovers,current_accentedHitsTotal,current_accentedHitsSuccessful,current_knockdowns,current_protectionPassage,current_hitsHeadTotal,current_hitsHeadSuccessful,current_hitsBodyTotal,current_hitsBodySuccessful,current_hitsLegsTotal,current_hitsLegsSuccessful,current_accentedHitsPositionDistanceTotal,current_accentedHitsPositionDistanceSuccessful,current_accentedHitsPositionClinchTotal,current_accentedHitsPositionClinchSuccessful,current_accentedHitsPositionParterTotal,current_accentedHitsPositionParterSuccessful,current_winMethods_[DEC],current_winMethods_[DQ],current_winMethods_[KO],current_winMethods_[SUB],age,eventDate.date,fighterId,fighter_nbr,odds,winnerId,count_of_fights,win_streak,loose_streak,fighterName
5632,600.0,1,118.0,59.0,1.0,0.0,0.0,0.0,99.0,44.0,0.0,0.0,91.0,38.0,4.0,2.0,4.0,4.0,83.0,34.0,5.0,4.0,11.0,6.0,2,0,0,0,300.0,True,80.0,40.0,1.0,0.0,0.0,0.0,77.0,38.0,0.0,0.0,70.0,32.0,3.0,2.0,4.0,4.0,63.0,29.0,4.0,4.0,10.0,5.0,1,0,0,0,23.0,2018-07-22 00:00:00,412,2,2.5,412.0,1,1,0,Nasrat Haqparast
5735,900.0,2,248.0,139.0,2.0,0.0,0.0,0.0,204.0,101.0,0.0,0.0,177.0,80.0,20.0,14.0,7.0,7.0,120.0,56.0,27.0,17.0,57.0,28.0,3,0,0,0,300.0,True,130.0,80.0,1.0,0.0,0.0,0.0,105.0,57.0,0.0,0.0,86.0,42.0,16.0,12.0,3.0,3.0,37.0,22.0,22.0,13.0,46.0,22.0,1,0,0,0,23.0,2018-10-27 00:00:00,412,2,1.14,412.0,2,2,0,Nasrat Haqparast
6146,936.0,3,264.0,151.0,2.0,0.0,0.0,0.0,220.0,113.0,0.0,0.0,192.0,91.0,20.0,14.0,8.0,8.0,127.0,59.0,27.0,17.0,66.0,37.0,3,0,1,0,36.0,True,16.0,12.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,15.0,11.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,9.0,9.0,0,0,1,0,24.0,2019-08-04 00:00:00,412,2,1.31,412.0,3,3,0,Nasrat Haqparast
6365,1006.0,3,275.0,158.0,2.0,0.0,0.0,0.0,231.0,120.0,0.0,0.0,199.0,94.0,22.0,16.0,10.0,10.0,138.0,66.0,27.0,17.0,66.0,37.0,3,0,2,0,70.0,False,11.0,7.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,7.0,3.0,2.0,2.0,2.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,25.0,2020-01-18 00:00:00,412,2,1.3,132.0,4,0,1,Nasrat Haqparast
6600,1306.0,4,362.0,202.0,2.0,0.0,0.0,0.0,318.0,164.0,0.0,0.0,278.0,132.0,30.0,22.0,10.0,10.0,225.0,110.0,27.0,17.0,66.0,37.0,4,0,2,0,300.0,True,87.0,44.0,0.0,0.0,0.0,0.0,87.0,44.0,0.0,0.0,79.0,38.0,8.0,6.0,0.0,0.0,87.0,44.0,0.0,0.0,0.0,0.0,1,0,0,0,25.0,2020-08-08 00:00:00,412,1,1.43,412.0,5,1,0,Nasrat Haqparast
6830,1606.0,4,,,,,,,,,,,,,,,,,,,,,,,5,0,2,0,300.0,False,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,26.0,2021-01-23 00:00:00,412,1,6.2,641.0,6,0,1,Nasrat Haqparast
3094,135.0,1,25.0,19.0,6.0,5.0,0.0,0.0,19.0,13.0,0.0,1.0,18.0,12.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,13.0,11.0,0,0,1,0,135.0,True,25.0,19.0,6.0,5.0,0.0,0.0,19.0,13.0,0.0,1.0,18.0,12.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,13.0,11.0,0,0,1,0,26.0,2012-12-15 00:00:00,413,2,,413.0,0,1,0,Rustam Khabilov
3233,287.0,2,43.0,23.0,8.0,6.0,0.0,0.0,36.0,16.0,0.0,1.0,31.0,14.0,4.0,1.0,1.0,1.0,21.0,3.0,2.0,2.0,13.0,11.0,0,0,2,0,152.0,True,18.0,4.0,2.0,1.0,0.0,0.0,17.0,3.0,0.0,0.0,13.0,2.0,3.0,0.0,1.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0,0,1,0,27.0,2013-04-27 00:00:00,413,1,1.54,413.0,1,2,0,Rustam Khabilov
3416,587.0,3,87.0,48.0,13.0,7.0,1.0,0.0,64.0,25.0,0.0,1.0,55.0,22.0,8.0,2.0,1.0,1.0,46.0,10.0,3.0,3.0,15.0,12.0,1,0,2,0,300.0,True,44.0,25.0,5.0,1.0,1.0,0.0,28.0,9.0,0.0,0.0,24.0,8.0,4.0,1.0,0.0,0.0,25.0,7.0,1.0,1.0,2.0,1.0,1,0,0,0,27.0,2013-11-06 00:00:00,413,1,1.77,413.0,2,3,0,Rustam Khabilov
3689,663.0,3,93.0,48.0,13.0,7.0,1.0,0.0,70.0,25.0,0.0,1.0,60.0,22.0,8.0,2.0,2.0,1.0,52.0,10.0,3.0,3.0,15.0,12.0,1,0,2,1,76.0,False,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,28.0,2014-06-07 00:00:00,413,1,3.17,993.0,3,0,1,Rustam Khabilov
