,cumsum_duration,cumsum_winner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsum_winMethods_[DEC],cumsum_winMethods_[DQ],cumsum_winMethods_[KO],cumsum_winMethods_[SUB],current_duration,winner,current_hitsTotal,current_hitsSuccessful,current_takedownTotal,current_takedownSuccessful,current_submissionAttempts,current_takeovers,current_accentedHitsTotal,current_accentedHitsSuccessful,current_knockdowns,current_protectionPassage,current_hitsHeadTotal,current_hitsHeadSuccessful,current_hitsBodyTotal,current_hitsBodySuccessful,current_hitsLegsTotal,current_hitsLegsSuccessful,current_accentedHitsPositionDistanceTotal,current_accentedHitsPositionDistanceSuccessful,current_accentedHitsPositionClinchTotal,current_accentedHitsPositionClinchSuccessful,current_accentedHitsPositionParterTotal,current_accentedHitsPositionParterSuccessful,current_winMethods_[DEC],current_winMethods_[DQ],current_winMethods_[KO],current_winMethods_[SUB],age,eventDate.date,fighterId,fighter_nbr,odds,winnerId,count_of_fights,win_streak,loose_streak,fighterName
6266,300.0,1,51.0,35.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0,0.0,25.0,11.0,15.0,15.0,11.0,9.0,51.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,300.0,True,51.0,35.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0,0.0,25.0,11.0,15.0,15.0,11.0,9.0,51.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,28.0,2019-10-19 04:00:00,1,1,1.65,1.0,0,1,0,Tanner Boser
6353,600.0,1,88.0,48.0,0.0,0.0,0.0,0.0,88.0,48.0,0.0,0.0,55.0,17.0,18.0,18.0,15.0,13.0,88.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0,300.0,False,37.0,13.0,0.0,0.0,0.0,0.0,37.0,13.0,0.0,0.0,30.0,6.0,3.0,3.0,4.0,4.0,37.0,13.0,0.0,0.0,0.0,0.0,0,0,0,0,28.0,2019-12-21 00:00:00,1,1,5.52,103.0,1,0,1,Tanner Boser
6532,761.0,2,110.0,63.0,0.0,0.0,0.0,0.0,110.0,63.0,0.0,1.0,67.0,23.0,20.0,20.0,23.0,20.0,109.0,62.0,0.0,0.0,1.0,1.0,0,0,1,0,161.0,True,22.0,15.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,1.0,12.0,6.0,2.0,2.0,8.0,7.0,21.0,14.0,0.0,0.0,1.0,1.0,0,0,1,0,29.0,2020-06-27 00:00:00,1,1,,1.0,2,1,0,Tanner Boser
6585,917.0,3,146.0,91.0,0.0,0.0,0.0,0.0,146.0,91.0,0.0,1.0,87.0,35.0,26.0,26.0,33.0,30.0,133.0,81.0,0.0,0.0,13.0,10.0,0,0,2,0,156.0,True,36.0,28.0,0.0,0.0,0.0,0.0,36.0,28.0,0.0,0.0,20.0,12.0,6.0,6.0,10.0,10.0,24.0,19.0,0.0,0.0,12.0,9.0,0,0,1,0,29.0,2020-07-25 00:00:00,1,1,,1.0,3,2,0,Tanner Boser
6733,1217.0,3,201.0,120.0,0.0,0.0,0.0,0.0,201.0,120.0,0.0,1.0,117.0,42.0,29.0,27.0,55.0,51.0,187.0,110.0,1.0,0.0,13.0,10.0,1,0,2,0,300.0,False,55.0,29.0,0.0,0.0,0.0,0.0,55.0,29.0,0.0,0.0,30.0,7.0,3.0,1.0,22.0,21.0,54.0,29.0,1.0,0.0,0.0,0.0,1,0,0,0,29.0,2020-11-07 00:00:00,1,1,1.29,277.0,4,0,1,Tanner Boser
4093,297.0,0,27.0,11.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,19.0,5.0,1.0,0.0,5.0,4.0,22.0,9.0,3.0,0.0,0.0,0.0,0,0,1,0,297.0,False,27.0,11.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,19.0,5.0,1.0,0.0,5.0,4.0,22.0,9.0,3.0,0.0,0.0,0.0,0,0,1,0,34.0,2015-04-04 00:00:00,3,1,1.41,615.0,0,0,1,Shamil Abdurakhimov
4511,597.0,1,70.0,46.0,1.0,0.0,0.0,0.0,56.0,33.0,0.0,0.0,42.0,23.0,5.0,3.0,9.0,7.0,38.0,20.0,18.0,13.0,0.0,0.0,1,0,1,0,300.0,True,43.0,35.0,0.0,0.0,0.0,0.0,31.0,24.0,0.0,0.0,23.0,18.0,4.0,3.0,4.0,3.0,16.0,11.0,15.0,13.0,0.0,0.0,1,0,0,0,35.0,2016-02-21 00:00:00,3,1,2.0,3.0,1,1,0,Shamil Abdurakhimov
4799,897.0,2,125.0,67.0,2.0,0.0,0.0,0.0,109.0,53.0,0.0,0.0,85.0,36.0,7.0,4.0,17.0,13.0,86.0,39.0,23.0,14.0,0.0,0.0,2,0,1,0,300.0,True,55.0,21.0,1.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,43.0,13.0,2.0,1.0,8.0,6.0,48.0,19.0,5.0,1.0,0.0,0.0,1,0,0,0,35.0,2016-10-01 00:00:00,3,1,1.81,3.0,2,2,0,Shamil Abdurakhimov
4888,1119.0,2,134.0,70.0,4.0,0.0,0.0,0.0,116.0,54.0,0.0,0.0,90.0,37.0,8.0,4.0,18.0,13.0,92.0,39.0,24.0,15.0,0.0,0.0,2,0,2,0,222.0,False,9.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,35.0,2016-12-09 00:00:00,3,1,3.1,200.0,3,0,1,Shamil Abdurakhimov
5320,1203.0,3,144.0,76.0,4.0,0.0,0.0,0.0,126.0,60.0,0.0,0.0,98.0,42.0,10.0,5.0,18.0,13.0,102.0,45.0,24.0,15.0,0.0,0.0,2,0,3,0,84.0,True,10.0,6.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,8.0,5.0,2.0,1.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0,0,1,0,36.0,2017-11-25 00:00:00,3,1,1.75,3.0,4,1,0,Shamil Abdurakhimov
5694,1503.0,4,176.0,88.0,5.0,0.0,0.0,0.0,157.0,71.0,0.0,0.0,118.0,46.0,18.0,9.0,21.0,16.0,130.0,54.0,27.0,17.0,0.0,0.0,3,0,3,0,300.0,True,32.0,12.0,1.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,20.0,4.0,8.0,4.0,3.0,3.0,28.0,9.0,3.0,2.0,0.0,0.0,1,0,0,0,37.0,2018-09-15 00:00:00,3,1,1.83,3.0,5,2,0,Shamil Abdurakhimov
5996,1698.0,5,210.0,105.0,8.0,0.0,0.0,0.0,191.0,88.0,0.0,0.0,147.0,59.0,23.0,13.0,21.0,16.0,157.0,66.0,34.0,22.0,0.0,0.0,3,0,4,0,195.0,True,34.0,17.0,3.0,0.0,0.0,0.0,34.0,17.0,0.0,0.0,29.0,13.0,5.0,4.0,0.0,0.0,27.0,12.0,7.0,5.0,0.0,0.0,0,0,1,0,38.0,2019-04-20 00:00:00,3,1,2.3,3.0,6,3,0,Shamil Abdurakhimov
6194,1840.0,5,213.0,107.0,8.0,0.0,0.0,0.0,194.0,90.0,0.0,0.0,150.0,61.0,23.0,13.0,21.0,16.0,160.0,68.0,34.0,22.0,0.0,0.0,3,0,5,0,142.0,False,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,1,0,38.0,2019-09-07 00:00:00,3,1,4.66,559.0,7,0,1,Shamil Abdurakhimov
5903,300.0,0,26.0,5.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,17.0,1.0,7.0,3.0,0.0,0.0,20.0,1.0,4.0,3.0,0.0,0.0,1,0,0,0,300.0,False,26.0,5.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,17.0,1.0,7.0,3.0,0.0,0.0,20.0,1.0,4.0,3.0,0.0,0.0,1,0,0,0,27.0,2019-02-23 00:00:00,4,1,2.76,29.0,0,0,1,Klidson Abreu
6128,600.0,1,75.0,22.0,0.0,0.0,0.0,0.0,70.0,18.0,0.0,0.0,50.0,7.0,12.0,3.0,8.0,8.0,63.0,15.0,7.0,3.0,0.0,0.0,2,0,0,0,300.0,True,49.0,17.0,0.0,0.0,0.0,0.0,46.0,14.0,0.0,0.0,33.0,6.0,5.0,0.0,8.0,8.0,43.0,14.0,3.0,0.0,0.0,0.0,1,0,0,0,27.0,2019-07-21 04:00:00,4,1,1.58,4.0,1,1,0,Klidson Abreu
6305,900.0,1,111.0,44.0,1.0,1.0,0.0,0.0,97.0,33.0,0.0,0.0,68.0,13.0,16.0,7.0,13.0,13.0,88.0,29.0,8.0,4.0,1.0,0.0,3,0,0,0,300.0,False,36.0,22.0,1.0,1.0,0.0,0.0,27.0,15.0,0.0,0.0,18.0,6.0,4.0,4.0,5.0,5.0,25.0,14.0,1.0,1.0,1.0,0.0,1,0,0,0,27.0,2019-11-09 00:00:00,4,1,2.48,2375.0,2,0,1,Klidson Abreu
6489,1011.0,1,118.0,49.0,1.0,1.0,0.0,0.0,104.0,38.0,0.0,0.0,70.0,13.0,17.0,8.0,17.0,17.0,94.0,33.0,9.0,5.0,1.0,0.0,3,0,1,0,111.0,False,7.0,5.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,0,0,1,0,28.0,2020-05-30 00:00:00,4,1,,2486.0,3,0,2,Klidson Abreu
671,114.0,1,16.0,5.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0,0,0,1,114.0,True,16.0,5.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0,0,0,1,29.0,2004-12-31 00:00:00,5,1,,5.0,0,1,0,Yoshihiro Akiyama
696,258.0,1,19.0,6.0,4.0,3.0,2.0,0.0,11.0,3.0,0.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0,0,1,1,144.0,False,3.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,30.0,2005-03-26 00:00:00,5,1,,2661.0,1,0,1,Yoshihiro Akiyama
746,317.0,2,19.0,6.0,5.0,4.0,3.0,0.0,11.0,3.0,0.0,5.0,10.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0,0,1,2,59.0,True,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,30.0,2005-07-06 00:00:00,5,1,,5.0,2,1,0,Yoshihiro Akiyama
801,484.0,3,55.0,26.0,6.0,5.0,3.0,0.0,44.0,21.0,0.0,6.0,42.0,21.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,33.0,21.0,0,0,2,2,167.0,True,36.0,20.0,1.0,1.0,0.0,0.0,33.0,18.0,0.0,1.0,32.0,18.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,23.0,18.0,0,0,1,0,30.0,2005-10-12 00:00:00,5,1,,5.0,3,2,0,Yoshihiro Akiyama
818,695.0,4,86.0,47.0,7.0,6.0,3.0,0.0,67.0,36.0,0.0,7.0,64.0,35.0,2.0,1.0,1.0,0.0,13.0,1.0,0.0,0.0,54.0,35.0,0,0,3,2,211.0,True,31.0,21.0,1.0,1.0,0.0,0.0,23.0,15.0,0.0,1.0,22.0,14.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,14.0,0,0,1,0,30.0,2005-11-05 00:00:00,5,1,,5.0,4,3,0,Yoshihiro Akiyama
872,796.0,5,94.0,51.0,8.0,7.0,4.0,0.0,73.0,38.0,0.0,8.0,69.0,36.0,3.0,2.0,1.0,0.0,15.0,1.0,4.0,2.0,54.0,35.0,0,0,3,3,101.0,True,8.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0,0,0,1,31.0,2006-03-15 00:00:00,5,1,,5.0,5,4,0,Yoshihiro Akiyama
898,941.0,6,135.0,62.0,8.0,7.0,4.0,0.0,114.0,49.0,0.0,8.0,106.0,45.0,5.0,3.0,3.0,1.0,52.0,9.0,8.0,5.0,54.0,35.0,0,0,4,3,145.0,True,41.0,11.0,0.0,0.0,0.0,0.0,41.0,11.0,0.0,0.0,37.0,9.0,2.0,1.0,2.0,1.0,37.0,8.0,4.0,3.0,0.0,0.0,0,0,1,0,31.0,2006-05-03 00:00:00,5,1,,5.0,6,5,0,Yoshihiro Akiyama
961,1062.0,7,140.0,67.0,10.0,8.0,5.0,0.0,117.0,52.0,0.0,9.0,109.0,48.0,5.0,3.0,3.0,1.0,53.0,10.0,9.0,6.0,55.0,36.0,0,0,4,4,121.0,True,5.0,5.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,31.0,2006-08-05 00:00:00,5,1,,5.0,7,6,0,Yoshihiro Akiyama
1011,1180.0,8,148.0,70.0,11.0,8.0,7.0,0.0,124.0,54.0,0.0,10.0,112.0,48.0,8.0,4.0,4.0,2.0,58.0,10.0,10.0,7.0,56.0,37.0,0,0,4,5,118.0,True,8.0,3.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,31.0,2006-10-09 00:00:00,5,1,,5.0,8,7,0,Yoshihiro Akiyama
1608,1566.0,9,195.0,110.0,13.0,10.0,8.0,0.0,135.0,61.0,0.0,15.0,122.0,55.0,8.0,4.0,5.0,2.0,62.0,12.0,11.0,7.0,62.0,42.0,0,0,4,6,386.0,True,47.0,40.0,2.0,2.0,1.0,0.0,11.0,7.0,0.0,5.0,10.0,7.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,6.0,5.0,0,0,0,1,33.0,2008-09-23 00:00:00,5,1,,5.0,9,8,0,Yoshihiro Akiyama
1867,1866.0,10,258.0,133.0,14.0,11.0,8.0,0.0,194.0,81.0,0.0,16.0,179.0,74.0,10.0,5.0,5.0,2.0,121.0,32.0,11.0,7.0,62.0,42.0,1,0,4,6,300.0,True,63.0,23.0,1.0,1.0,0.0,0.0,59.0,20.0,0.0,1.0,57.0,19.0,2.0,1.0,0.0,0.0,59.0,20.0,0.0,0.0,0.0,0.0,1,0,0,0,34.0,2009-07-11 00:00:00,5,1,,5.0,10,9,0,Yoshihiro Akiyama
2215,2146.0,10,294.0,153.0,15.0,12.0,8.0,0.0,209.0,86.0,0.0,18.0,194.0,79.0,10.0,5.0,5.0,2.0,129.0,33.0,11.0,7.0,69.0,46.0,1,0,4,7,280.0,False,36.0,20.0,1.0,1.0,0.0,0.0,15.0,5.0,0.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,7.0,4.0,0,0,0,1,35.0,2010-07-03 00:00:00,5,1,,1179.0,11,0,1,Yoshihiro Akiyama
2306,2446.0,10,367.0,167.0,15.0,12.0,8.0,0.0,282.0,100.0,0.0,18.0,264.0,90.0,13.0,8.0,5.0,2.0,199.0,46.0,14.0,8.0,69.0,46.0,2,0,4,7,300.0,False,73.0,14.0,0.0,0.0,0.0,0.0,73.0,14.0,0.0,0.0,70.0,11.0,3.0,3.0,0.0,0.0,70.0,13.0,3.0,1.0,0.0,0.0,1,0,0,0,35.0,2010-10-16 00:00:00,5,1,,704.0,12,0,2,Yoshihiro Akiyama
2578,2558.0,10,376.0,168.0,15.0,12.0,8.0,0.0,291.0,101.0,0.0,18.0,270.0,90.0,13.0,8.0,8.0,3.0,208.0,47.0,14.0,8.0,69.0,46.0,2,0,5,7,112.0,False,9.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,36.0,2011-08-06 00:00:00,5,1,,601.0,13,0,3,Yoshihiro Akiyama
2815,2858.0,10,416.0,190.0,15.0,12.0,8.0,0.0,320.0,113.0,0.0,18.0,297.0,100.0,14.0,9.0,9.0,4.0,233.0,56.0,18.0,11.0,69.0,46.0,3,0,5,7,300.0,False,40.0,22.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,27.0,10.0,1.0,1.0,1.0,1.0,25.0,9.0,4.0,3.0,0.0,0.0,1,0,0,0,37.0,2012-02-25 00:00:00,5,1,,1158.0,14,0,4,Yoshihiro Akiyama
3844,3158.0,11,495.0,234.0,15.0,12.0,8.0,0.0,384.0,146.0,0.0,18.0,359.0,131.0,16.0,11.0,9.0,4.0,259.0,70.0,18.0,11.0,107.0,65.0,4,0,5,7,300.0,True,79.0,44.0,0.0,0.0,0.0,0.0,64.0,33.0,0.0,0.0,62.0,31.0,2.0,2.0,0.0,0.0,26.0,14.0,0.0,0.0,38.0,19.0,1,0,0,0,39.0,2014-09-20 00:00:00,5,1,1.65,5.0,15,1,0,Yoshihiro Akiyama
4396,3458.0,11,585.0,292.0,15.0,12.0,8.0,0.0,454.0,190.0,0.0,19.0,425.0,171.0,17.0,12.0,12.0,7.0,316.0,102.0,19.0,12.0,119.0,76.0,5,0,5,7,300.0,False,90.0,58.0,0.0,0.0,0.0,0.0,70.0,44.0,0.0,1.0,66.0,40.0,1.0,1.0,3.0,3.0,57.0,32.0,1.0,1.0,12.0,11.0,1,0,0,0,40.0,2015-11-28 00:00:00,5,1,1.69,230.0,16,0,1,Yoshihiro Akiyama
4280,300.0,0,64.0,28.0,2.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,48.0,13.0,2.0,1.0,14.0,14.0,61.0,25.0,3.0,3.0,0.0,0.0,1,0,0,0,300.0,False,64.0,28.0,2.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,48.0,13.0,2.0,1.0,14.0,14.0,61.0,25.0,3.0,3.0,0.0,0.0,1,0,0,0,33.0,2015-08-01 00:00:00,6,1,4.74,482.0,0,0,1,Jessica Aguilar
5067,600.0,0,115.0,61.0,4.0,1.0,0.0,0.0,101.0,48.0,0.0,0.0,75.0,24.0,7.0,5.0,19.0,19.0,86.0,37.0,14.0,10.0,1.0,1.0,2,0,0,0,300.0,False,51.0,33.0,2.0,1.0,0.0,0.0,37.0,20.0,0.0,0.0,27.0,11.0,5.0,4.0,5.0,5.0,25.0,12.0,11.0,7.0,1.0,1.0,1,0,0,0,35.0,2017-05-13 00:00:00,6,1,2.36,539.0,1,0,2,Jessica Aguilar
5626,900.0,1,204.0,120.0,7.0,1.0,0.0,0.0,188.0,105.0,0.0,0.0,147.0,66.0,15.0,13.0,26.0,26.0,155.0,79.0,32.0,25.0,1.0,1.0,3,0,0,0,300.0,True,89.0,59.0,3.0,0.0,0.0,0.0,87.0,57.0,0.0,0.0,72.0,42.0,8.0,8.0,7.0,7.0,69.0,42.0,18.0,15.0,0.0,0.0,1,0,0,0,36.0,2018-07-14 00:00:00,6,1,2.53,6.0,2,1,0,Jessica Aguilar
5782,1121.0,1,218.0,131.0,8.0,1.0,0.0,0.0,200.0,114.0,0.0,0.0,149.0,66.0,24.0,21.0,27.0,27.0,157.0,79.0,42.0,34.0,1.0,1.0,3,0,0,1,221.0,False,14.0,11.0,1.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,2.0,0.0,9.0,8.0,1.0,1.0,2.0,0.0,10.0,9.0,0.0,0.0,0,0,0,1,36.0,2018-11-24 00:00:00,6,1,5.75,140.0,3,0,1,Jessica Aguilar
5967,1421.0,1,274.0,154.0,9.0,1.0,0.0,0.0,256.0,137.0,0.0,0.0,193.0,81.0,36.0,29.0,27.0,27.0,202.0,94.0,53.0,42.0,1.0,1.0,4,0,0,1,300.0,False,56.0,23.0,1.0,0.0,0.0,0.0,56.0,23.0,0.0,0.0,44.0,15.0,12.0,8.0,0.0,0.0,45.0,15.0,11.0,8.0,0.0,0.0,1,0,0,0,37.0,2019-03-31 03:00:00,6,1,4.14,318.0,4,0,2,Jessica Aguilar
5837,58.0,1,18.0,15.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,16.0,13.0,2.0,2.0,0.0,0.0,9.0,7.0,9.0,8.0,0.0,0.0,0,0,1,0,58.0,True,18.0,15.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,16.0,13.0,2.0,2.0,0.0,0.0,9.0,7.0,9.0,8.0,0.0,0.0,0,0,1,0,26.0,2018-12-16 04:00:00,7,1,1.22,7.0,0,1,0,Juan Adams
6021,358.0,1,73.0,47.0,0.0,0.0,0.0,0.0,63.0,38.0,0.0,0.0,56.0,32.0,7.0,6.0,0.0,0.0,40.0,19.0,22.0,18.0,1.0,1.0,1,0,1,0,300.0,False,55.0,32.0,0.0,0.0,0.0,0.0,45.0,23.0,0.0,0.0,40.0,19.0,5.0,4.0,0.0,0.0,31.0,12.0,13.0,10.0,1.0,1.0,1,0,0,0,27.0,2019-05-04 00:00:00,7,1,1.75,351.0,1,0,1,Juan Adams
6122,403.0,1,80.0,50.0,1.0,0.0,0.0,0.0,70.0,41.0,0.0,0.0,63.0,35.0,7.0,6.0,0.0,0.0,47.0,22.0,22.0,18.0,1.0,1.0,1,0,2,0,45.0,False,7.0,3.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0,0,1,0,27.0,2019-07-21 04:00:00,7,1,1.93,512.0,2,0,2,Juan Adams
6386,522.0,1,91.0,57.0,1.0,0.0,0.0,0.0,81.0,48.0,0.0,0.0,67.0,38.0,11.0,8.0,3.0,2.0,58.0,29.0,22.0,18.0,1.0,1.0,1,0,3,0,119.0,False,11.0,7.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,4.0,3.0,4.0,2.0,3.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0,0,1,0,28.0,2020-02-08 00:00:00,7,1,1.56,3219.0,3,0,3,Juan Adams
5431,217.0,1,63.0,46.0,0.0,0.0,0.0,0.0,59.0,42.0,0.0,0.0,46.0,30.0,10.0,10.0,3.0,2.0,32.0,21.0,27.0,21.0,0.0,0.0,0,0,1,0,217.0,True,63.0,46.0,0.0,0.0,0.0,0.0,59.0,42.0,0.0,0.0,46.0,30.0,10.0,10.0,3.0,2.0,32.0,21.0,27.0,21.0,0.0,0.0,0,0,1,0,29.0,2018-02-10 00:00:00,8,1,1.31,8.0,0,1,0,Israel Adesanya
5494,517.0,2,94.0,65.0,1.0,0.0,0.0,0.0,80.0,52.0,0.0,0.0,65.0,38.0,12.0,12.0,3.0,2.0,53.0,31.0,27.0,21.0,0.0,0.0,1,0,1,0,300.0,True,31.0,19.0,1.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,19.0,8.0,2.0,2.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,0.0,1,0,0,0,29.0,2018-04-15 03:00:00,8,1,1.45,8.0,1,2,0,Israel Adesanya
5591,817.0,3,141.0,93.0,1.0,0.0,1.0,0.0,124.0,77.0,0.0,2.0,97.0,53.0,16.0,14.0,11.0,10.0,92.0,51.0,27.0,21.0,5.0,5.0,2,0,1,0,300.0,True,47.0,28.0,0.0,0.0,1.0,0.0,44.0,25.0,0.0,2.0,32.0,15.0,4.0,2.0,8.0,8.0,39.0,20.0,0.0,0.0,5.0,5.0,1,0,0,0,29.0,2018-07-06 00:00:00,8,1,1.91,8.0,2,3,0,Israel Adesanya
5744,1108.0,4,166.0,108.0,1.0,0.0,1.0,0.0,147.0,90.0,0.0,2.0,113.0,62.0,20.0,17.0,14.0,11.0,111.0,62.0,30.0,23.0,6.0,5.0,2,0,2,0,291.0,True,25.0,15.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,16.0,9.0,4.0,3.0,3.0,1.0,19.0,11.0,3.0,2.0,1.0,0.0,0,0,1,0,29.0,2018-11-03 00:00:00,8,1,1.42,8.0,3,4,0,Israel Adesanya
5886,1408.0,5,215.0,133.0,1.0,0.0,1.0,0.0,196.0,115.0,0.0,2.0,138.0,71.0,33.0,22.0,25.0,22.0,160.0,87.0,30.0,23.0,6.0,5.0,3,0,2,0,300.0,True,49.0,25.0,0.0,0.0,0.0,0.0,49.0,25.0,0.0,0.0,25.0,9.0,13.0,5.0,11.0,11.0,49.0,25.0,0.0,0.0,0.0,0.0,1,0,0,0,30.0,2019-02-10 06:00:00,8,1,1.21,8.0,4,5,0,Israel Adesanya
5974,1708.0,6,278.0,176.0,1.0,0.0,3.0,0.0,253.0,152.0,0.0,2.0,187.0,103.0,34.0,23.0,32.0,26.0,207.0,117.0,30.0,23.0,16.0,12.0,4,0,2,0,300.0,True,63.0,43.0,0.0,0.0,2.0,0.0,57.0,37.0,0.0,0.0,49.0,32.0,1.0,1.0,7.0,4.0,47.0,30.0,0.0,0.0,10.0,7.0,1,0,0,0,30.0,2019-04-13 00:00:00,8,1,1.58,8.0,5,6,0,Israel Adesanya
6239,1921.0,7,329.0,196.0,1.0,0.0,3.0,0.0,304.0,172.0,0.0,2.0,229.0,116.0,38.0,25.0,37.0,31.0,254.0,134.0,30.0,23.0,20.0,15.0,4,0,3,0,213.0,True,51.0,20.0,0.0,0.0,0.0,0.0,51.0,20.0,0.0,0.0,42.0,13.0,4.0,2.0,5.0,5.0,47.0,17.0,0.0,0.0,4.0,3.0,0,0,1,0,30.0,2019-10-05 00:00:00,8,1,1.9,8.0,6,7,0,Israel Adesanya
6435,2221.0,8,358.0,208.0,1.0,0.0,3.0,0.0,333.0,184.0,0.0,2.0,245.0,120.0,44.0,26.0,44.0,38.0,283.0,146.0,30.0,23.0,20.0,15.0,5,0,3,0,300.0,True,29.0,12.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,16.0,4.0,6.0,1.0,7.0,7.0,29.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0,31.0,2020-03-07 00:00:00,8,1,1.36,8.0,7,8,0,Israel Adesanya
6670,2460.0,9,405.0,241.0,1.0,0.0,3.0,0.0,380.0,217.0,0.0,3.0,279.0,140.0,46.0,28.0,55.0,49.0,317.0,169.0,33.0,25.0,30.0,23.0,5,0,4,0,239.0,True,47.0,33.0,0.0,0.0,0.0,0.0,47.0,33.0,0.0,1.0,34.0,20.0,2.0,2.0,11.0,11.0,34.0,23.0,3.0,2.0,10.0,8.0,0,0,1,0,31.0,2020-09-26 00:00:00,8,1,1.56,8.0,8,9,0,Israel Adesanya
