iter	Accuracy	Logloss
0	0.5332398317	0.6931376424
1	0.5590462833	0.693123227
2	0.5769985975	0.6931147296
3	0.5736325386	0.6931052152
4	0.5918653576	0.6930869397
5	0.5943899018	0.6930654673
6	0.5966339411	0.6930547377
7	0.6117812062	0.6930343713
8	0.6106591865	0.6930188755
9	0.6095371669	0.693016214
10	0.6176718093	0.6929884332
11	0.6272089762	0.6929655645
12	0.6176718093	0.6929441336
13	0.6179523142	0.6929366804
14	0.618513324	0.692907269
15	0.6204768583	0.6928938797
16	0.621598878	0.6928881976
17	0.6272089762	0.6928796283
18	0.624684432	0.6928735169
19	0.6227208976	0.6928613728
20	0.6199158485	0.6928552254
21	0.621598878	0.6928460451
22	0.621598878	0.6928379817
23	0.6199158485	0.6928278655
24	0.6330995792	0.6928000223
25	0.6297335203	0.6927775608
26	0.6336605891	0.6927661342
27	0.6333800842	0.6927562931
28	0.6319775596	0.6927500108
29	0.6347826087	0.692737492
30	0.6367461431	0.6927304985
31	0.6333800842	0.692720068
32	0.6345021038	0.6927099321
33	0.6367461431	0.6926970197
34	0.6359046283	0.6926867318
35	0.6367461431	0.692673262
36	0.6353436185	0.6926565064
37	0.6389901823	0.6926458366
38	0.6392706872	0.6926356933
39	0.6392706872	0.6926279178
40	0.6353436185	0.6926077094
41	0.6316970547	0.6925832958
42	0.6356241234	0.6925746851
43	0.6345021038	0.692565969
44	0.6384291725	0.6925595637
45	0.6384291725	0.6925521356
46	0.6378681627	0.6925345777
47	0.6319775596	0.6925223037
48	0.6333800842	0.6924965389
49	0.6328190743	0.6924876231
50	0.6314165498	0.6924785348
51	0.6319775596	0.6924708044
52	0.6333800842	0.6924565337
53	0.6336605891	0.6924542885
54	0.6347826087	0.6924478017
55	0.6333800842	0.6924281656
56	0.6336605891	0.6924200592
57	0.6300140252	0.692410329
58	0.6319775596	0.6924019913
59	0.6373071529	0.6923828837
60	0.6367461431	0.6923677812
61	0.6336605891	0.6923544393
62	0.6356241234	0.6923402659
63	0.6350631136	0.692335241
64	0.6342215989	0.6923319863
65	0.6330995792	0.6923075373
66	0.6353436185	0.6922969572
67	0.6361851332	0.692290342
68	0.633941094	0.6922697617
69	0.6330995792	0.692261157
70	0.6336605891	0.6922529056
71	0.6330995792	0.6922422291
72	0.6333800842	0.6922151413
73	0.6328190743	0.6922106353
74	0.6316970547	0.6922073327
75	0.6322580645	0.6921784094
76	0.6330995792	0.6921709355
77	0.6319775596	0.6921652181
78	0.6305750351	0.6921583942
79	0.6311360449	0.6921462692
80	0.6300140252	0.6921431212
81	0.633941094	0.6921187827
82	0.6330995792	0.692115673
83	0.6319775596	0.6920943642
84	0.6330995792	0.692068142
85	0.6350631136	0.6920639789
86	0.6342215989	0.6920587587
87	0.6347826087	0.6920493908
88	0.6319775596	0.6920404017
89	0.6330995792	0.69203423
90	0.63085554	0.6920192411
91	0.6294530154	0.6920135601
92	0.6302945302	0.6919860267
93	0.6294530154	0.6919708515
94	0.6297335203	0.6919433091
95	0.6288920056	0.6919335778
96	0.6280504909	0.691911958
97	0.6269284712	0.6918855642
98	0.627769986	0.6918664439
99	0.6280504909	0.6918635071
100	0.6288920056	0.691854218
101	0.627769986	0.6918419204
102	0.6280504909	0.6918352573
103	0.6260869565	0.6918280857
104	0.6266479663	0.691821729
105	0.6286115007	0.6918165978
106	0.6266479663	0.6918086115
107	0.6258064516	0.6917814239
108	0.6252454418	0.6917569717
109	0.6274894811	0.6917320584
110	0.624684432	0.6917213448
111	0.6252454418	0.6917050043
112	0.6252454418	0.6916952431
113	0.6260869565	0.6916902884
114	0.6274894811	0.6916833728
115	0.6272089762	0.6916715678
116	0.6297335203	0.6916662444
117	0.6286115007	0.6916352688
118	0.6294530154	0.6916222749
119	0.6305750351	0.6916100277
120	0.6297335203	0.6916039076
121	0.6288920056	0.6915790065
122	0.6283309958	0.6915540398
123	0.6297335203	0.6915465189
124	0.6272089762	0.6915228749
125	0.6269284712	0.6915157866
126	0.627769986	0.6915032437
127	0.6286115007	0.6914856685
128	0.6283309958	0.6914690741
129	0.6286115007	0.6914608469
130	0.6294530154	0.6914553437
131	0.6302945302	0.6914457085
132	0.6311360449	0.6914312724
133	0.6291725105	0.6914085613
134	0.6305750351	0.6913842379
135	0.6316970547	0.691377836
136	0.6286115007	0.6913545969
137	0.6316970547	0.6913295119
138	0.6314165498	0.6913220021
139	0.6302945302	0.6913153838
140	0.6291725105	0.6913097318
141	0.6297335203	0.6912894314
142	0.6336605891	0.6912622439
143	0.63085554	0.691243293
144	0.6305750351	0.691234931
145	0.6300140252	0.6912179641
146	0.6302945302	0.6912138769
147	0.6302945302	0.6911922179
148	0.6300140252	0.6911845773
149	0.6302945302	0.6911607512
150	0.6288920056	0.6911431778
151	0.6291725105	0.6911389848
152	0.6311360449	0.6911169678
153	0.6305750351	0.6911046697
154	0.6294530154	0.6910864597
155	0.6302945302	0.6910621852
156	0.6300140252	0.6910574773
157	0.6300140252	0.6910534708
158	0.63085554	0.6910486197
159	0.6311360449	0.6910393961
160	0.63085554	0.6910344701
161	0.6305750351	0.6910131135
162	0.6319775596	0.6910020602
163	0.6328190743	0.690992989
164	0.6325385694	0.6909853162
165	0.6330995792	0.6909814294
166	0.6330995792	0.6909700999
167	0.6316970547	0.690949428
168	0.63085554	0.6909395025
169	0.6316970547	0.690923258
170	0.6328190743	0.6909169905
171	0.6322580645	0.6908948935
172	0.6319775596	0.6908910556
173	0.6311360449	0.6908843394
174	0.6319775596	0.6908794586
175	0.6319775596	0.6908752473
176	0.6302945302	0.690869486
177	0.6302945302	0.6908610135
178	0.6294530154	0.6908410618
179	0.6316970547	0.6908310729
180	0.6305750351	0.6908084146
181	0.6314165498	0.6907859226
182	0.6314165498	0.6907784079
183	0.6302945302	0.6907707534
184	0.63085554	0.690764045
185	0.6305750351	0.6907515844
186	0.6288920056	0.6907308057
187	0.6297335203	0.690713184
188	0.6314165498	0.6906781466
189	0.6319775596	0.6906695264
190	0.6330995792	0.6906458457
191	0.6328190743	0.6906213535
192	0.6333800842	0.6906016674
193	0.6316970547	0.6905864677
194	0.6311360449	0.6905768909
195	0.63085554	0.6905724726
196	0.6322580645	0.6905616098
197	0.6316970547	0.6905540612
198	0.6314165498	0.690541115
199	0.6305750351	0.6905332864
200	0.6314165498	0.690526453
201	0.6305750351	0.6905169264
202	0.6302945302	0.6904981462
203	0.6311360449	0.6904884115
204	0.6314165498	0.6904821449
205	0.6300140252	0.6904767192
206	0.6294530154	0.6904666323
207	0.6297335203	0.6904643036
208	0.6305750351	0.6904545401
209	0.6297335203	0.6904456537
210	0.6286115007	0.6904210482
211	0.6294530154	0.6903969532
212	0.6302945302	0.6903872455
213	0.6297335203	0.690382102
214	0.6291725105	0.6903763066
215	0.6291725105	0.6903721601
216	0.6297335203	0.690364099
217	0.6300140252	0.6903513983
218	0.6305750351	0.6903413766
219	0.6288920056	0.6903196294
220	0.63085554	0.6903006238
221	0.6302945302	0.6902924096
222	0.6300140252	0.6902839213
223	0.6302945302	0.6902740454
224	0.6294530154	0.6902644763
225	0.6311360449	0.6902372908
226	0.6297335203	0.6902333863
227	0.6291725105	0.6902285005
228	0.6297335203	0.6902238191
229	0.6302945302	0.6902168146
230	0.63085554	0.6902028855
231	0.6314165498	0.6901978791
232	0.6305750351	0.690194107
233	0.6297335203	0.6901739457
234	0.6305750351	0.6901624569
235	0.6294530154	0.6901581472
236	0.6297335203	0.6901501919
237	0.6294530154	0.6901364197
238	0.6305750351	0.6901227908
239	0.6288920056	0.6901165937
240	0.6294530154	0.690102684
241	0.6291725105	0.6900827837
242	0.6294530154	0.6900793865
243	0.6300140252	0.6900580183
244	0.6297335203	0.6900528573
245	0.6288920056	0.6900498592
246	0.6300140252	0.6900297477
247	0.6297335203	0.6900153726
248	0.6300140252	0.6900008159
249	0.63085554	0.6899948511
250	0.6302945302	0.6899839649
251	0.6305750351	0.6899781741
252	0.63085554	0.689956768
253	0.6311360449	0.6899334724
254	0.6319775596	0.6899107831
255	0.6328190743	0.6898990622
256	0.6325385694	0.6898923035
257	0.6319775596	0.6898855786
258	0.6322580645	0.6898624587
259	0.6322580645	0.6898570537
260	0.6322580645	0.689846246
261	0.6311360449	0.6898355358
262	0.6311360449	0.689825596
263	0.63085554	0.6898126774
264	0.6319775596	0.6897835314
265	0.6311360449	0.68977557
266	0.6319775596	0.6897618452
267	0.6322580645	0.6897565514
268	0.6311360449	0.6897315842
269	0.6314165498	0.6897115828
270	0.6305750351	0.6896986231
271	0.6297335203	0.689685261
272	0.6302945302	0.6896788388
273	0.6322580645	0.6896591294
274	0.6322580645	0.6896513164
275	0.6314165498	0.6896361301
276	0.63085554	0.6896222517
277	0.6302945302	0.6896089299
278	0.6300140252	0.6896053735
279	0.6316970547	0.6895843803
280	0.6314165498	0.6895794444
281	0.6311360449	0.6895674696
282	0.6316970547	0.6895493632
283	0.6311360449	0.6895423698
284	0.6314165498	0.6895392036
285	0.6311360449	0.6895327714
286	0.6311360449	0.6895267971
287	0.63085554	0.6895178585
288	0.6305750351	0.689511597
289	0.6302945302	0.6895071117
290	0.63085554	0.6894934352
291	0.63085554	0.6894889327
292	0.63085554	0.6894809018
293	0.63085554	0.6894789047
294	0.6291725105	0.6894710281
295	0.6288920056	0.6894643181
296	0.6294530154	0.6894583756
297	0.6291725105	0.6894464145
298	0.6297335203	0.6894229811
299	0.6291725105	0.6894148023
300	0.6297335203	0.6893926834
301	0.6291725105	0.6893754155
302	0.6286115007	0.6893664775
303	0.6291725105	0.6893608845
304	0.6294530154	0.6893380143
305	0.6283309958	0.6893350735
306	0.6294530154	0.6893099815
307	0.6280504909	0.6892915376
308	0.6286115007	0.6892724504
309	0.6283309958	0.6892650386
310	0.6280504909	0.6892577437
311	0.6283309958	0.6892491356
312	0.6280504909	0.689242458
313	0.6274894811	0.6892352147
314	0.627769986	0.6892285098
315	0.6274894811	0.6892141917
316	0.6274894811	0.6892093585
317	0.6280504909	0.6892045287
318	0.6286115007	0.689189273
319	0.6286115007	0.6891782657
320	0.6288920056	0.6891684716
321	0.6280504909	0.6891530733
