iter	Passed	Remaining
0	4	14170
1	9	13793
2	12	12800
3	16	12315
4	19	11405
5	22	11032
6	26	11246
7	29	10899
8	32	10887
9	36	10913
10	39	10740
11	42	10583
12	45	10389
13	47	10209
14	50	10040
15	53	10020
16	56	9867
17	59	9848
18	62	9795
19	65	9779
20	69	9906
21	73	9963
22	77	10066
23	80	10012
24	85	10171
25	90	10299
26	93	10325
27	96	10234
28	100	10315
29	105	10432
30	108	10390
31	114	10623
32	120	10871
33	127	11086
34	133	11313
35	137	11322
36	140	11262
37	143	11161
38	146	11089
39	148	11000
40	151	10954
41	155	10980
42	161	11114
43	164	11059
44	167	11004
45	172	11046
46	177	11180
47	182	11215
48	186	11204
49	189	11189
50	192	11111
51	195	11095
52	199	11106
53	202	11039
54	205	11014
55	208	10954
56	210	10892
57	214	10883
58	217	10823
59	219	10734
60	221	10652
61	223	10578
62	226	10561
63	232	10685
64	238	10782
65	244	10849
66	248	10867
67	253	10936
68	258	10993
69	265	11105
70	271	11199
71	277	11273
72	281	11289
73	287	11376
74	293	11439
75	298	11498
76	304	11567
77	309	11599
78	314	11626
79	318	11633
80	324	11680
81	327	11650
82	332	11690
83	335	11654
84	340	11663
85	344	11657
86	347	11638
87	352	11654
88	354	11608
89	358	11586
90	361	11541
91	365	11565
92	369	11541
93	373	11534
94	376	11521
95	380	11502
96	384	11498
97	387	11460
98	390	11434
99	394	11440
100	397	11404
101	400	11371
102	403	11344
103	406	11308
104	409	11283
105	412	11252
106	416	11247
107	419	11241
108	424	11247
109	427	11243
110	431	11238
111	434	11215
112	438	11203
113	442	11191
114	445	11170
115	449	11163
116	452	11149
117	455	11127
118	458	11105
119	461	11079
120	464	11054
121	468	11050
122	473	11067
123	476	11060
124	482	11090
125	485	11084
126	489	11077
127	494	11086
128	498	11091
129	502	11095
130	507	11115
131	512	11126
132	515	11103
133	518	11087
134	521	11076
135	526	11086
136	529	11063
137	532	11052
138	536	11034
139	540	11051
140	543	11027
141	548	11029
142	552	11039
143	556	11036
144	560	11032
145	564	11028
146	568	11028
147	571	11014
148	576	11026
149	580	11033
150	585	11043
151	588	11031
152	592	11018
153	596	11017
154	600	11022
155	604	11027
156	609	11029
157	613	11030
158	617	11029
159	620	11012
160	625	11032
161	629	11029
162	633	11018
163	635	10986
164	639	10979
165	643	10980
166	647	10987
167	651	10985
168	654	10962
169	657	10952
170	662	10953
171	665	10949
172	670	10950
173	675	10966
174	680	10988
175	684	10975
176	688	10974
177	692	10979
178	696	10977
179	699	10954
180	703	10956
181	707	10961
182	711	10949
183	713	10925
184	717	10910
185	719	10891
186	723	10888
187	726	10867
188	729	10856
189	733	10849
190	737	10847
191	741	10849
192	745	10836
193	749	10839
194	752	10818
195	755	10806
196	757	10781
197	760	10765
198	763	10750
199	766	10726
200	768	10703
201	770	10678
202	773	10662
203	777	10652
204	781	10650
205	784	10636
206	787	10619
207	789	10594
208	792	10585
209	795	10570
210	798	10555
211	800	10530
212	803	10510
213	806	10494
214	809	10484
215	811	10464
216	816	10468
217	819	10454
218	822	10439
219	824	10421
220	827	10401
221	830	10386
222	832	10361
223	833	10332
