iter	Accuracy	Logloss
0	0.5736363636	0.6931180468
1	0.5790909091	0.6930953135
2	0.5854545455	0.6930659259
3	0.5990909091	0.6930489102
4	0.6063636364	0.6930299319
5	0.6154545455	0.6930088023
6	0.6209090909	0.6929975221
7	0.6172727273	0.6929703704
8	0.6154545455	0.6929457392
9	0.6136363636	0.6929291962
10	0.62	0.6928976081
11	0.6163636364	0.6928943706
12	0.6109090909	0.692880155
13	0.6109090909	0.6928588679
14	0.6072727273	0.6928367598
15	0.6109090909	0.6928211892
16	0.6209090909	0.6927912211
17	0.62	0.6927663225
18	0.6236363636	0.6927389201
19	0.6190909091	0.6927223085
20	0.6236363636	0.6927112173
21	0.6218181818	0.6927033488
22	0.6209090909	0.6926763373
23	0.6172727273	0.6926585942
24	0.6172727273	0.6926518721
25	0.6190909091	0.6926320993
26	0.6154545455	0.6926215314
27	0.6190909091	0.6926065617
28	0.6190909091	0.6925838029
29	0.6227272727	0.6925542975
30	0.6218181818	0.6925250554
31	0.6154545455	0.6925144805
32	0.6227272727	0.6924873904
33	0.62	0.6924803628
34	0.62	0.6924711877
35	0.6090909091	0.6924442394
36	0.61	0.6924298881
37	0.6154545455	0.6924057263
38	0.6127272727	0.6923922101
39	0.6118181818	0.6923843904
40	0.6172727273	0.6923621169
41	0.6118181818	0.6923523921
42	0.6136363636	0.6923432656
43	0.6136363636	0.6923171811
44	0.6172727273	0.6922865929
45	0.6172727273	0.692271973
46	0.6154545455	0.6922552868
47	0.6190909091	0.692242678
48	0.6172727273	0.6922328109
49	0.6190909091	0.6922243585
50	0.6172727273	0.6922138276
51	0.6145454545	0.6921930311
52	0.6145454545	0.6921741018
53	0.6163636364	0.692154717
54	0.6172727273	0.692136343
55	0.6163636364	0.6921261241
56	0.6163636364	0.6921111388
57	0.6218181818	0.6920780339
58	0.6227272727	0.6920674617
59	0.6181818182	0.6920527549
60	0.6254545455	0.6920284797
61	0.6245454545	0.6920171775
62	0.6254545455	0.6920016651
63	0.6236363636	0.6919897492
64	0.6190909091	0.6919648287
65	0.6190909091	0.6919498037
66	0.6136363636	0.6919381122
67	0.6154545455	0.6919216687
68	0.6172727273	0.6919007058
69	0.6190909091	0.6918791776
70	0.6236363636	0.6918550856
71	0.6236363636	0.6918282965
72	0.6218181818	0.6918098916
73	0.6227272727	0.6917922704
74	0.6218181818	0.691782608
75	0.6209090909	0.6917701332
76	0.6209090909	0.6917541089
77	0.6190909091	0.6917470441
78	0.6209090909	0.6917307288
79	0.6190909091	0.6917138892
80	0.6172727273	0.6916782722
81	0.6163636364	0.6916719596
82	0.6163636364	0.6916475304
83	0.6136363636	0.69163178
84	0.6136363636	0.6916157595
85	0.6145454545	0.6915996496
86	0.6109090909	0.6915797954
87	0.6154545455	0.6915480332
88	0.6145454545	0.6915286985
89	0.6127272727	0.6915162089
90	0.6136363636	0.6915090444
91	0.6163636364	0.6914990817
92	0.6163636364	0.6914813163
93	0.6190909091	0.6914670779
94	0.6154545455	0.6914533241
95	0.6154545455	0.6914400039
96	0.6172727273	0.6914108709
97	0.6145454545	0.6913988142
98	0.6145454545	0.6913805518
99	0.6136363636	0.6913617155
100	0.6145454545	0.6913416785
101	0.6145454545	0.6913377083
102	0.6181818182	0.6913210554
103	0.6136363636	0.6912946037
104	0.6127272727	0.6912720384
105	0.6136363636	0.6912628143
106	0.6136363636	0.6912552052
107	0.6145454545	0.6912429625
108	0.6154545455	0.6912256771
109	0.6145454545	0.6911863434
110	0.6181818182	0.691169518
111	0.62	0.6911601075
112	0.6154545455	0.6911269158
113	0.6190909091	0.6910955234
114	0.6190909091	0.6910810398
115	0.62	0.6910623746
116	0.62	0.6910540923
117	0.6209090909	0.6910456025
118	0.6209090909	0.6910350631
119	0.6172727273	0.6910239345
120	0.6172727273	0.6910080388
121	0.62	0.690984865
122	0.6209090909	0.6909745422
123	0.6190909091	0.6909459963
124	0.62	0.6909050651
125	0.6190909091	0.6908940913
126	0.6154545455	0.6908738423
