iter	Passed	Remaining
0	6	20256
1	14	21104
2	19	19776
3	24	18097
4	29	17695
5	34	17292
6	39	17027
7	52	19581
8	57	19212
9	63	19014
10	69	18750
11	74	18494
12	78	18135
13	84	17945
14	89	17772
15	95	17826
16	100	17651
17	105	17533
18	110	17407
19	115	17276
20	121	17179
21	126	17061
22	131	17010
23	136	16895
24	140	16703
25	151	17309
26	157	17335
27	162	17243
28	168	17235
29	174	17246
30	181	17410
31	187	17398
32	193	17365
33	197	17246
34	202	17159
35	207	17079
36	212	17049
37	216	16871
38	220	16703
39	223	16538
40	226	16376
41	230	16230
42	233	16074
43	236	15920
44	240	15768
45	244	15696
46	248	15583
47	252	15527
48	256	15417
49	259	15311
50	262	15207
51	266	15106
52	269	14994
53	273	14895
54	276	14803
55	279	14710
56	283	14621
57	286	14547
58	290	14478
59	294	14409
60	297	14327
61	300	14258
62	304	14183
63	307	14113
64	311	14048
65	314	13979
66	317	13918
67	321	13851
68	325	13814
69	328	13754
70	332	13696
71	335	13633
72	338	13578
73	345	13657
74	349	13623
75	352	13579
76	356	13543
77	360	13494
78	363	13438
79	366	13388
80	370	13336
81	373	13292
82	376	13242
83	380	13199
84	383	13155
85	386	13103
86	389	13056
87	393	13019
88	396	12979
89	400	12945
90	403	12905
91	407	12875
92	410	12842
93	414	12802
94	417	12764
95	420	12726
96	424	12694
97	427	12657
98	430	12623
99	433	12584
100	437	12548
101	440	12515
102	444	12514
103	448	12487
104	451	12457
105	455	12427
106	458	12406
107	462	12381
108	465	12351
109	468	12321
110	472	12296
111	475	12266
112	479	12241
113	482	12216
114	485	12191
115	489	12166
116	492	12144
117	496	12122
118	500	12108
119	503	12082
120	506	12056
121	510	12031
122	513	12005
123	516	11983
124	520	11961
125	523	11941
126	526	11914
127	530	11894
128	533	11873
129	536	11853
130	541	11862
131	547	11886
132	550	11867
133	554	11850
134	557	11834
135	561	11818
136	564	11799
137	568	11780
138	571	11760
139	574	11743
140	578	11725
141	581	11707
142	585	11690
143	588	11673
144	591	11652
145	595	11631
146	598	11613
147	601	11594
148	604	11572
149	608	11554
150	611	11535
151	614	11515
152	618	11500
153	621	11483
154	624	11467
155	628	11451
156	631	11438
157	635	11423
158	638	11405
159	643	11416
160	646	11407
161	650	11402
162	656	11420
163	661	11436
164	665	11440
165	670	11446
166	675	11462
167	680	11470
168	685	11480
169	690	11491
170	695	11500
171	699	11497
172	704	11515
173	710	11532
174	715	11547
175	721	11573
176	725	11574
177	745	11816
178	755	11905
179	758	11890
180	762	11874
181	765	11857
182	769	11842
183	773	11831
184	776	11818
185	780	11803
186	783	11785
187	787	11774
188	790	11763
189	794	11751
190	798	11736
191	801	11720
192	804	11707
193	808	11693
194	811	11676
195	815	11661
196	818	11646
197	821	11631
198	825	11616
199	828	11602
200	832	11587
201	835	11569
202	841	11594
203	845	11583
204	848	11569
205	852	11557
206	855	11543
207	860	11546
208	863	11531
209	867	11520
210	870	11506
211	873	11492
212	877	11478
213	880	11464
214	883	11449
215	887	11435
216	890	11421
217	893	11406
218	897	11397
219	902	11406
220	906	11394
221	909	11383
222	912	11368
223	916	11354
224	919	11345
225	923	11334
226	926	11319
227	930	11307
228	933	11295
229	936	11283
230	941	11291
231	946	11289
232	949	11281
233	953	11271
234	957	11261
235	960	11251
236	963	11237
237	967	11226
238	970	11216
239	983	11308
240	988	11314
241	993	11326
242	998	11329
243	1003	11330
244	1009	11346
245	1013	11343
246	1017	11341
247	1022	11347
248	1027	11347
249	1032	11358
250	1037	11364
251	1043	11373
252	1048	11386
253	1054	11395
254	1059	11403
255	1064	11415
256	1069	11415
257	1073	11412
258	1079	11422
259	1084	11427
260	1089	11428
261	1094	11434
262	1100	11452
263	1106	11465
264	1111	11476
265	1117	11488
266	1122	11493
267	1127	11492
268	1133	11503
269	1141	11541
270	1147	11550
271	1153	11570
272	1158	11573
273	1163	11573
274	1168	11574
275	1172	11573
276	1175	11559
277	1179	11546
278	1182	11534
279	1186	11521
280	1189	11508
281	1192	11494
282	1195	11480
283	1199	11468
284	1202	11454
285	1205	11439
286	1208	11428
287	1212	11415
288	1215	11404
289	1219	11392
290	1222	11380
291	1225	11367
292	1229	11355
293	1232	11343
294	1237	11347
295	1242	11352
296	1246	11340
297	1249	11330
298	1252	11318
299	1257	11316
300	1260	11305
301	1264	11294
302	1267	11283
303	1271	11272
304	1274	11261
305	1278	11257
306	1282	11247
307	1289	11273
308	1295	11281
309	1298	11268
310	1302	11257
311	1305	11246
312	1308	11234
313	1312	11224
314	1315	11212
315	1318	11202
316	1322	11190
317	1325	11178
318	1328	11166
319	1332	11156
320	1337	11163
321	1342	11163
322	1345	11154
323	1349	11144
324	1352	11132
325	1355	11121
326	1359	11110
327	1362	11098
328	1365	11086
329	1368	11075
330	1372	11064
331	1375	11053
332	1378	11043
333	1382	11033
334	1385	11022
335	1388	11011
336	1392	11001
337	1397	11006
338	1401	11004
339	1405	10994
340	1408	10984
341	1411	10973
342	1415	10963
343	1418	10952
344	1421	10941
345	1425	10931
346	1428	10921
347	1431	10912
348	1435	10901
349	1439	10895
350	1442	10886
351	1445	10876
352	1449	10872
353	1453	10863
354	1456	10854
355	1460	10845
356	1463	10835
357	1467	10827
358	1470	10819
359	1474	10811
360	1477	10804
361	1481	10798
362	1486	10799
363	1491	10801
364	1496	10806
365	1503	10819
366	1508	10825
367	1513	10827
368	1518	10825
369	1523	10827
370	1529	10835
371	1537	10862
372	1542	10863
373	1547	10867
374	1551	10859
375	1554	10850
376	1558	10841
377	1561	10831
378	1564	10820
379	1568	10812
380	1571	10803
381	1574	10792
382	1578	10783
383	1581	10773
384	1584	10764
385	1588	10754
386	1591	10744
387	1594	10734
388	1598	10726
389	1601	10719
390	1605	10711
391	1608	10703
392	1612	10694
393	1615	10686
394	1618	10676
395	1622	10668
396	1626	10667
397	1630	10658
398	1633	10650
399	1639	10654
400	1642	10648
401	1646	10639
402	1649	10630
403	1653	10621
404	1656	10613
405	1659	10604
406	1663	10596
407	1666	10586
