iter	Accuracy	Logloss
0	0.5481065919	0.6931260136
1	0.5517531557	0.6931061455
2	0.5781206171	0.6930902759
3	0.5921458626	0.6930778063
4	0.5971949509	0.6930532684
5	0.5983169705	0.693033408
6	0.6070126227	0.6930226579
7	0.6100981767	0.6930146867
8	0.5991584853	0.6929885229
9	0.5971949509	0.6929667258
10	0.6042075736	0.6929567578
11	0.6033660589	0.692946039
12	0.6084151473	0.6929392079
13	0.6103786816	0.6929280913
14	0.6151472651	0.6929212224
15	0.6187938289	0.6929097503
16	0.6145862553	0.6929066622
17	0.6218793829	0.69290223
18	0.6196353436	0.6928957965
19	0.6134642356	0.6928880482
20	0.6196353436	0.6928762079
21	0.6187938289	0.6928714688
22	0.6179523142	0.6928542347
23	0.6126227209	0.692844788
24	0.6171107994	0.6928362798
25	0.6179523142	0.6928337451
26	0.6221598878	0.6928300143
27	0.6126227209	0.6928231428
28	0.6173913043	0.6928057559
29	0.6199158485	0.6927995693
30	0.6193548387	0.6927899742
31	0.6207573633	0.6927791349
32	0.621598878	0.6927472234
33	0.6244039271	0.6927374135
34	0.618513324	0.6927336185
35	0.6190743338	0.6927259073
36	0.6241234222	0.692719658
37	0.6241234222	0.692711099
38	0.6235624123	0.6927030058
39	0.6218793829	0.6926951563
40	0.6230014025	0.6926891312
41	0.6227208976	0.6926841721
42	0.6210378682	0.6926736378
43	0.6218793829	0.692641371
44	0.6204768583	0.6926259524
45	0.6258064516	0.6925948065
46	0.624684432	0.6925846271
47	0.6230014025	0.6925736422
48	0.6286115007	0.692564195
49	0.6263674614	0.6925514135
50	0.6255259467	0.6925469889
51	0.6255259467	0.6925397444
52	0.6252454418	0.6925229669
53	0.6263674614	0.692497135
54	0.627769986	0.6924704968
55	0.6288920056	0.69245576
56	0.6272089762	0.6924427058
57	0.6266479663	0.6924397553
58	0.6249649369	0.6924323351
59	0.6266479663	0.692420573
60	0.6260869565	0.6924140087
61	0.6252454418	0.6924054467
62	0.6232819074	0.6923892494
63	0.627769986	0.6923669118
64	0.6252454418	0.6923590801
65	0.624684432	0.6923513376
66	0.6238429173	0.6923424788
67	0.6252454418	0.6923362839
68	0.6255259467	0.6923098557
69	0.6252454418	0.6923053147
70	0.6255259467	0.6922959785
71	0.6252454418	0.6922893613
72	0.6255259467	0.6922845162
73	0.6232819074	0.6922737068
74	0.6255259467	0.692265316
75	0.6244039271	0.6922622496
76	0.6260869565	0.6922548746
77	0.6252454418	0.6922516866
78	0.6255259467	0.6922471259
79	0.6260869565	0.6922336977
80	0.627769986	0.692201327
81	0.6260869565	0.6921982778
82	0.6258064516	0.6921903594
83	0.6269284712	0.6921767605
84	0.6260869565	0.6921720614
85	0.6266479663	0.692160712
86	0.6269284712	0.6921359913
87	0.6266479663	0.6921327469
88	0.627769986	0.6921240305
89	0.6274894811	0.6921160162
90	0.6266479663	0.6921062762
91	0.6252454418	0.6920919574
92	0.6255259467	0.6920828067
93	0.6288920056	0.6920770441
94	0.624684432	0.6920665915
95	0.624684432	0.6920470207
96	0.624684432	0.6920444782
97	0.6269284712	0.6920321876
98	0.6269284712	0.6920260426
99	0.6258064516	0.6920241608
100	0.6272089762	0.6919934339
101	0.6280504909	0.6919830937
102	0.6258064516	0.6919556207
103	0.6266479663	0.6919465378
104	0.6283309958	0.6919421793
105	0.6255259467	0.6919321266
106	0.6235624123	0.6919149589
107	0.6230014025	0.691906657
108	0.6252454418	0.6918997058
109	0.6235624123	0.6918950607
110	0.6232819074	0.6918852857
111	0.6244039271	0.6918803401
112	0.6252454418	0.6918708725
113	0.6249649369	0.6918483999
114	0.6252454418	0.6918290434
115	0.6260869565	0.6918012828
116	0.6249649369	0.6917955024
117	0.6274894811	0.6917882795
118	0.6238429173	0.691765212
119	0.6249649369	0.6917417604
120	0.6255259467	0.6917338045
121	0.6263674614	0.6917222663
122	0.6283309958	0.6917020856
123	0.6266479663	0.6916926783
124	0.6263674614	0.6916828966
125	0.6258064516	0.6916650665
126	0.6269284712	0.691658051
127	0.627769986	0.6916528261
128	0.627769986	0.6916335283
129	0.6272089762	0.6916224291
130	0.6272089762	0.6916162438
131	0.6269284712	0.6916067528
132	0.6272089762	0.6916005412
133	0.6258064516	0.6915905534
134	0.6249649369	0.6915774838
135	0.6249649369	0.6915711736
136	0.6255259467	0.691562368
137	0.6235624123	0.6915516576
138	0.6238429173	0.6915390724
139	0.6241234222	0.6915305483
140	0.6218793829	0.6915266409
141	0.6249649369	0.6915099104
142	0.6221598878	0.6915048289
143	0.6249649369	0.6914810295
144	0.6255259467	0.691453318
145	0.6266479663	0.6914251799
146	0.6260869565	0.6914143073
147	0.6258064516	0.6913984502
148	0.6260869565	0.6913907397
149	0.6260869565	0.6913838989
150	0.6249649369	0.6913788954
151	0.6249649369	0.6913721028
152	0.6272089762	0.6913623901
153	0.627769986	0.6913495014
154	0.6272089762	0.6913357551
155	0.6266479663	0.6913250346
156	0.6258064516	0.6913076777
157	0.6274894811	0.691292208
158	0.6274894811	0.6912879366
159	0.6252454418	0.6912818142
160	0.6269284712	0.6912585605
161	0.6263674614	0.6912536253
162	0.6280504909	0.6912491307
163	0.6263674614	0.6912443017
164	0.6249649369	0.6912365184
165	0.6283309958	0.6912068852
166	0.627769986	0.691197139
167	0.6283309958	0.6911921826
168	0.6266479663	0.6911784504
169	0.6288920056	0.6911506908
170	0.6286115007	0.6911412358
171	0.6280504909	0.6911321878
172	0.6272089762	0.6911236064
173	0.627769986	0.691116824
174	0.6291725105	0.6911102561
175	0.6311360449	0.6910804791
176	0.6311360449	0.691074556
177	0.63085554	0.6910590608
178	0.6314165498	0.6910393564
179	0.6314165498	0.6910201596
180	0.6300140252	0.6910108643
181	0.6300140252	0.6910059564
182	0.6291725105	0.6909945261
183	0.6297335203	0.6909737124
184	0.6300140252	0.6909660109
185	0.6291725105	0.6909581688
186	0.6302945302	0.6909482197
187	0.6280504909	0.6909264461
188	0.6280504909	0.6909175675
189	0.627769986	0.6909026695
190	0.6286115007	0.690887567
191	0.627769986	0.6908661243
192	0.6288920056	0.6908572017
